School_Name,City,State,Population 2020 Census,Median salary for HS graduate (equivalency) US Career Institute,Median Household Income Census,BachPlus Census,EmployRate Census,Median Individual Income by State (2022),Percentage with 4 year education or higher,PREDDEG,LOCALE,Admission_Rate,ACT_Reading_Scores_75th_Percentile,ACT_Math_Scores_75th_Percentile,Undergraduate_Enrollment,In-State_Tuition,Out-Of-State_Tuition,C150_4,Completion_Rate_100%_Expected_Time,ICLEVEL,Book_And_Supply,Room_Board_On_Campus,Other_Expense_On_Campus,Room_Board_Off,Other_Expenses_Off_Campus,Mean_Earnings_10_Years_Post_Grad,Student_Faculty_Ratio,Median_Woman_Earnings_Post_Grad,Median_Male_Earnings_Post_Grad,Percentage_Federal_Loans_Paid_After_4Years,Average_Faculty_Salary,PRGMOFR,MD_FAMINC,Median_Household_Income,Percent_Undergrads_Received_Federal_Loans,Instructional_Expenditures_Per_Full_Time_Student,Net_Tuition_Revenue_Per_Full_Time_Student,First_Year_Student_Retention_Rate,Total_Cost,ROI,Column1
University of California-Berkeley,Berkeley,CA,39538223,32560,91551,0.37,0.6,39812,0.37,3,12,0.1444,635,624,31811,14226,43980,0.9281,0.7897,1,1118,20236,5893,16377,6199,79000,20,80202,98670,0.37,18770,,31227,77601.85,0.1481,21463,21095,0.9614,171713,0.460070001,1.840280002
New Mexico Institute of Mining and Technology,Socorro,NM,2117522,27893,59726,0.305,0.548,31063,0.305,3,33,0.9672,660,660,1201,8425,24254,0.5526,0.3063,1,800,8518,3450,8518,3450,58500,10,53475,65006,0.25,9083,,39182,52104.89,0.4532,11883,6489,0.7826,132765,0.440628178,1.76251271
University of California-Los Angeles,Los Angeles,CA,39538223,32560,91551,0.37,0.6,39812,0.37,3,11,0.1077,635,624,32122,13258,43012,0.9213,0.826,1,1405,16763,4871,15950,5560,73200,18,74996,87902,0.32,19498,,32613.5,72896.84,0.1224,60528,18698,0.963,166537,0.439541964,1.758167855
University of California-San Diego,La Jolla,CA,39538223,32560,91551,0.37,0.6,39812,0.37,3,11,0.342,635,624,33339,14700,44454,0.8935,0.7302,1,1152,16145,4163,14383,4881,69600,19,75009,90831,0.36,16913,,35914,76397.62,0.246,22086,18651,0.946,166400,0.418269231,1.673076923
South Dakota School of Mines and Technology,Rapid City,SD,886667,31896,69728,0.316,0.643,37048,0.316,3,13,0.8048,665,690,1976,12110,16530,0.5231,0.2404,1,2060,8140,4400,10760,4400,62400,11,59222,75625,0.25,9844,,76508,52423.4,0.4688,11960,8714,0.7437,154294,0.404422725,1.617690902
University of Utah,Salt Lake City,UT,3271616,33905,89168,0.379,0.678,37332,0.379,3,12,0.9497,690,700,24850,8893,28345,0.672,0.3587,1,1036,10662,3672,12978,3672,63500,18,49195,77191,0.21,11146,,38625,69474.52,0.2371,16497,12602,0.8761,159883,0.397165427,1.588661709
Oregon Institute of Technology,Klamath Falls,OR,4237256,31685,75657,0.363,0.597,37774,0.363,3,33,0.9062,650,650,3257,11622,32515,0.5556,0.2809,1,1225,10214,3568,12040,3568,57800,15,58593,80269,0.2,8499,,36182,52974.7,0.2949,9605,9092,0.7164,153369,0.376868859,1.507475435
Highlands College of Montana Tech,Butte,MT,1084225,29874,67631,0.346,0.611,34350,0.346,1,33,1,635,624,312,3590,9390,,,2,1320,10658,4374,10658,4374,52100,13,39538,60666,0.16,8322,,38398,44236.75,0.2297,5802,4195,,139438,0.373642766,1.494571064
Arizona State University-Polytechnic,Mesa,AZ,7151502,31185,74568,0.33,0.577,37209,0.33,0,,0.88,635,624,,11348,29438,,,1,,12394,4160,10907,5160,55500,,53185,68098,0.17,,,35851.5,69074.33,,,,,152642,0.363595865,1.454383459
Arizona State University-Downtown Phoenix,Phoenix,AZ,7151502,31185,74568,0.33,0.577,37209,0.33,0,,0.88,635,624,,11348,29438,,,1,,12394,4160,10907,5160,55500,,53185,68098,0.17,,,35851.5,69074.33,,,,,152642,0.363595865,1.454383459
Oregon State University,Corvallis,OR,4237256,31685,75657,0.363,0.597,37774,0.363,3,13,0.8921,680,690,27038,12188,31579,0.6818,0.4059,1,600,13860,2754,13860,2745,56700,18,52655,69532,0.19,10714,,44450,60312.67,0.3305,11183,12585,0.8567,156142,0.363130996,1.452523985
University of Nevada-Reno,Reno,NV,3104614,32823,72333,0.27,0.593,36671,0.27,3,11,0.8816,640,630,16274,8588,24680,0.6268,0.3979,1,1200,12216,4792,12216,4792,56300,17,54508,67144,0.19,10322,,48103,68050.29,0.2884,12091,8227,0.7949,158088,0.356130763,1.42452305
University of Colorado Boulder,Boulder,CO,5773714,35143,89302,0.459,0.656,44196,0.459,3,12,0.7958,690,700,30414,12496,38314,0.7404,0.5306,1,1200,15676,2979,13050,2979,59700,18,60294,71679,0.27,12044,,70221,81327.65,0.2472,18097,20776,0.8611,172923,0.345240367,1.380961468
Montana State University,Bozeman,MT,1084225,29874,67631,0.346,0.611,34350,0.346,3,33,0.73,650,650,14329,7528,28264,0.5452,0.3105,1,1450,10400,3908,10400,3908,48900,18,45110,58763,0.2,8598,,56045,53207.14,0.3393,8484,11707,0.7687,142782,0.342480145,1.369920578
California State University-Long Beach,Long Beach,CA,39538223,32560,91551,0.37,0.6,39812,0.37,3,11,0.4685,635,624,33765,6846,18726,0.7547,0.3424,1,1070,13938,3134,13358,3638,53000,23,58408,65972,0.21,10297,,26465,66954.9,0.2307,7483,4712,0.8812,155228,0.341433247,1.365732986
University of New Mexico-Taos Campus,Ranchos de Taos,NM,2117522,27893,59726,0.305,0.548,31063,0.305,2,41,1,635,624,813,1872,4752,,,2,1178,10950.8169,3863.484507,10396,4230,43900,25,39521,48892,0.1,6049,,27972,49538.77,0.0361,6869,1492,,129436.3014,0.339162967,1.356651867
University of North Dakota,Grand Forks,ND,779094,36719,71970,0.318,0.661,41128,0.318,3,13,0.8903,630,660,8998,10596,15037,0.6178,0.3983,1,800,9922,3446,9922,3446,57800,17,53433,71034,0.24,9136,,78651,56722.24,0.4511,17790,15459,0.7906,171640,0.33675134,1.34700536
South Dakota State University,Brookings,SD,886667,31896,69728,0.316,0.643,37048,0.316,3,33,0.8743,600,620,8651,9299,12809,0.5955,0.4152,1,1200,8054,4063,9025,4780,50200,17,47108,58219,0.21,8860,,73000,53049.11,0.4901,8746,8708,0.8043,150200,0.334221039,1.336884154
University of California-Riverside,Riverside,CA,39538223,32560,91551,0.37,0.6,39812,0.37,3,11,0.6538,635,624,22817,13754,43508,0.7645,0.6131,1,1536,16864,4306,12010,5012,55300,24,60523,67802,0.24,14807,,35809,68292.12,0.3373,14457,12175,0.8955,166700,0.331733653,1.326934613
University of Wyoming,Laramie,WY,576851,35417,70042,0.296,0.625,37413,0.296,3,33,0.9678,635,624,8700,6277,20827,0.6023,0.3702,1,1200,11144,3184,11144,3184,54200,14,47755,60998,0.18,9830,,54733.5,56061.18,0.2726,16662,6490,0.7812,163473,0.331553223,1.326212891
Portland State University,Portland,OR,4237256,31685,75657,0.363,0.597,37774,0.363,3,11,0.9843,640,610,15674,10386,29286,0.5381,0.2881,1,1200,13500,3210,13500,3210,50800,19,51038,59725,0.12,10304,,25986,62889.32,0.3637,9642,10003,0.7556,155036,0.327665832,1.31066333
California State University-Fullerton,Fullerton,CA,39538223,32560,91551,0.37,0.6,39812,0.37,3,21,0.5943,635,624,35502,6976,18856,0.7147,0.2897,1,1203,16703,3133,17100,5003,51800,25,55014,64051,0.21,10353,,28124,73036.4,0.1913,6668,5270,0.8783,158255,0.327319832,1.309279328
University of South Dakota,Vermillion,SD,886667,31896,69728,0.316,0.643,37048,0.316,3,32,0.8701,640,650,5328,9432,12942,0.601,0.4277,1,1200,8600,4625,9013,6012,49500,14,46244,55575,0.15,8332,,64843.5,53799.09,0.4677,10574,8289,0.791,151441,0.326859965,1.307439861
Utah Valley University,Orem,UT,3271616,33905,89168,0.379,0.678,37332,0.379,2,13,1,635,624,27489,6010,17092,0.3779,0.1479,1,588,8810.5,4401,9018,3664,50700,25,32486,69429,0.19,8644,,31983,65815.47,0.1128,5682,5397,0.6654,155429.5,0.326192904,1.304771617
North Dakota State University-Main Campus,Fargo,ND,779094,36719,71970,0.318,0.661,41128,0.318,3,12,0.9546,640,673,9932,10601,15076,0.6487,0.4122,1,800,9078,3400,9078,3400,55500,18,51542,66926,0.29,9434,,80195,55831.54,0.5172,10490,10452,0.7901,170755,0.325027086,1.300108342
Washington State University-Vancouver,Vancouver,WA,7705281,36702,91306,0.395,0.611,44586,0.395,0,,0.86,635,624,,11056,26372,,,1,,13015,3392.2,11663.6,3470.8,56600,,59446,72473,0.2,,,44850,63710,,,,,174271.2,0.324781146,1.299124583
Washington State University-Tri Cities,Richland,WA,7705281,36702,91306,0.395,0.611,44586,0.395,0,,0.86,635,624,,11399,26715,,,1,,13015,3392.2,11663.6,3470.8,56600,,59446,72473,0.2,,,44850,63710,,,,,174614.2,0.324143168,1.296572673
California State University-Northridge,Northridge,CA,39538223,32560,91551,0.37,0.6,39812,0.37,3,11,0.881,635,624,34436,7043,18923,0.542,0.1655,1,1486,11502,3132,18962,4366,49700,26,53426,60910,0.16,10127,,22839,64055.44,0.2136,6440,4251,0.8274,153403,0.323983234,1.295932935
Washington State University,Pullman,WA,7705281,36702,91306,0.395,0.611,44586,0.395,3,32,0.8577,635,624,23966,12417,27733,0.5955,0.3734,1,960,11848,3542,11848,3542,56600,15,59446,72473,0.2,10401,,44850,63710,0.3237,9617,10674,0.807,175575,0.322369358,1.289477431
University of Idaho,Moscow,ID,1839106,31007,72785,0.323,0.602,33432,0.323,3,32,0.8138,620,600,6861,8340,27576,0.5925,0.383,1,1232,9610,3072,9610,3072,47000,16,45537,58028,0.16,9870,,45018,54125.14,0.3624,11230,10423,0.7568,146282,0.32129722,1.285188882
Weber State University,Ogden,UT,3271616,33905,89168,0.379,0.678,37332,0.379,2,13,1,635,624,15944,6228,16644,0.4058,0.1539,1,1400,9004,5060,7380,5060,49900,21,41753,70962,0.19,8590,,35841,66371.04,0.1286,6076,4497,0.657,157312,0.317204028,1.268816111
Colorado State University-Fort Collins,Fort Collins,CO,5773714,35143,89302,0.459,0.656,44196,0.459,3,12,0.8964,650,640,24344,12331,31613,0.6912,0.4671,1,1200,13016,1799,11844,1799,53400,17,50739,66888,0.22,10534,,63463.5,73818.06,0.3386,14690,15851,0.8528,168918,0.31612972,1.264518879
Utah State University,Logan,UT,3271616,33905,89168,0.379,0.678,37332,0.379,3,13,0.9263,660,650,20516,8960,24080,0.5578,0.2936,1,836,8076,4072,8300,4072,49600,21,34479,70498,0.23,9658,,42950.5,60534.36,0.2221,10909,6662,0.7347,157564,0.314792719,1.259170877
University of Nevada-Las Vegas,Las Vegas,NV,3104614,32823,72333,0.27,0.593,36671,0.27,3,12,0.8348,635,624,24835,8737,24828,0.4715,0.1938,1,1240,11512,4926,11430,6596,49600,18,49969,59220,0.14,10839,,34261,70070.97,0.2714,12269,7479,0.786,157707,0.314507282,1.25802913
University of Arizona,Tucson,AZ,7151502,37365,74568,0.33,0.577,37209,0.33,3,11,0.8727,680,690,36560,12736,37258,0.6434,0.4979,1,900,13450,3600,10900,5600,56000,17,52823,69611,0.18,11400,,43043,64708.31,0.2882,12902,14180,0.8479,180146,0.31085897,1.24343588
New Mexico State University-Alamogordo,Alamogordo,NM,2117522,27893,59726,0.305,0.548,31063,0.305,2,41,1,635,624,461,2064,5376,,,2,1240,10950.8169,3863.484507,8898,4244,40300,10,33196,45212,0.09,6896,,23951,43867.23,0.0956,12925,3787,,129690.3014,0.310740276,1.242961102
The University of Montana,Missoula,MT,1084225,29874,67631,0.346,0.611,34350,0.346,3,13,0.8214,660,620,7026,7432,28416,0.4772,0.3259,1,1100,11054,3450,11054,4150,43300,15,40221,48175,0.12,8380,,36050,50573.68,0.4407,10682,9731,0.7484,142532,0.303791429,1.215165717
University of Hawaii at Manoa,Honolulu,HI,1455271,35311,92458,0.354,0.574,41850,0.354,3,11,0.6998,660,630,13839,12186,34218,0.5891,0.3666,1,1350,13642,2742,13642,2742,51800,14,51684,61333,0.19,12905,,40609,71646.27,0.2907,22581,11441,0.7987,171164,0.302633731,1.210534926
Idaho State University,Pocatello,ID,1839106,31007,72785,0.323,0.602,33432,0.323,3,13,1,635,624,6842,7872,25326,0.3909,0.1959,1,1000,7340,5930,8370,5930,43900,13,36449,56371,0.12,7968,,35747.5,52463.75,0.3126,12445,8519,0.64,146170,0.300335226,1.201340904
Montana State University-Northern,Havre,MT,1084225,29874,67631,0.346,0.611,34350,0.346,3,33,1,635,624,838,5955,18665,0.3134,0.2375,1,1400,6470,3200,7700,3200,40400,14,36369,52396,0.13,6108,,35266,43741.63,0.3785,9960,7921,0.6971,136521,0.295925169,1.183700676
University of Colorado Colorado Springs,Colorado Springs,CO,5773714,35143,89302,0.459,0.656,44196,0.459,3,11,0.9527,635,624,9634,8766,21222,0.4414,0.2312,1,1800,10920,4660,11080,4660,49300,16,46372,60355,0.17,8428,,42591,70639.18,0.3481,9798,9307,0.6904,166718,0.295708922,1.182835687
